"","hydrophobicity","is_tmh","binds_mhc1","binds_mhc2"
"419",-0.98,0,0,0
"420",-0.56,0,0,0
"421",-0.77,0,0,0
"422",0.91,0,1,0
"423",-0.975,0,0,0
"424",-0.315,0,0,0
"425",1.32,0,1,0
"426",-1.08,0,0,0
"427",-0.16,0,0,0
"428",1.395,0,1,0
"429",0.44,0,0,1
"430",0.135,0,0,0
"431",-0.225,0,0,0
"432",0.04,0,1,0
"433",-0.525,0,0,0
"434",1.065,0,0,0
"435",-1.55,0,0,0
"436",-0.905,0,1,0
"437",-0.34,0,0,0
"438",-0.755,0,1,0
"439",-1.95,0,0,0
"440",-1.175,0,0,0
"441",-0.555,0,0,0
"442",-0.035,0,1,0
"443",1.7,0,1,0
"444",-0.845,0,0,1
"445",0.41,0,0,0
"446",0.345,0,1,0
"447",-0.155,0,0,0
"448",-0.055,0,0,0
"449",0.69,0,1,0
"450",0.2,0,0,0
"451",-0.78,0,0,0
"452",-0.555,0,0,0
"453",-0.64,0,0,0
"454",-0.28,0,0,0
"455",1.035,0,1,0
"456",0.23,0,0,0
"457",0.395,0,0,0
"458",-1.84,0,1,0
"459",0.16,0,0,0
"460",1.43,0,1,0
"461",0.88,0,1,0
"462",0.695,0,0,0
"463",0.03,0,0,0
"464",-0.975,0,0,0
"465",0.505,0,1,0
"466",-0.245,0,0,0
"467",0.375,0,1,0
"468",0.1,0,0,0
"469",-0.35,0,0,0
"470",0.93,0,1,1
"471",0.14,0,1,0
"472",1.28,0,1,0
"473",-1.15,0,0,0
"474",0.595,0,1,0
"475",0.075,0,1,0
"476",-1.085,0,0,0
"477",-0.795,0,0,0
"478",-0.64,0,0,0
"479",1.315,0,0,0
"480",-0.69,0,0,0
"481",-0.52,0,0,0
"482",1.015,0,1,0
"483",0.285,0,1,0
"484",-0.25,0,0,0
"485",-0.36,0,1,0
"486",0.115,0,0,0
"487",0.84,0,1,0
"488",0.295,0,0,0
"489",0.605,0,0,0
"490",-0.815,0,0,0
"491",-1.405,0,0,0
"492",-0.11,0,0,0
"493",-1.08,0,0,0
"494",0.645,0,1,0
"495",-0.26,0,1,0
"496",0.16,0,0,0
"497",1.115,0,0,0
"498",0.89,0,1,0
"499",-0.625,0,0,0
"500",-0.065,0,0,0
"501",0.245,0,0,0
"502",-0.005,0,1,0
"503",-0.11,0,0,0
"504",-2.295,0,0,0
"505",-0.22,0,1,0
"506",2.22044604925031e-17,0,0,0
"507",-1.56,0,0,0
"508",0.045,0,0,0
"509",0.1,0,1,0
"510",0.165,0,0,0
"511",1.74,0,0,0
"512",0.035,0,1,0
"513",0.58,0,0,0
"514",-0.66,0,0,0
"515",-0.46,0,0,0
"516",-0.29,0,0,0
"517",-0.395,0,1,0
"518",0.725,0,1,0
"519",-0.725,0,0,0
"520",-0.385,0,0,0
"521",-0.66,0,0,0
"522",-1.355,0,0,0
"523",-0.025,0,0,0
"524",1.02,0,1,0
"525",-0.04,0,1,0
"526",-1.11,0,0,0
"527",-1.45,0,0,0
"528",0.36,0,0,0
"529",-0.505,0,0,0
"530",-2.31,0,0,0
"531",1.77,0,0,0
"532",-0.72,0,0,0
"533",-1.08,0,0,0
"534",-1.055,0,0,0
"535",-1.11,0,0,0
"536",1.835,0,1,0
"537",-1.54,0,0,0
"538",-0.65,0,0,0
"539",-0.275,0,1,0
"540",-1.44,0,0,0
"541",0.55,0,0,1
"542",-0.96,0,0,0
"543",0.88,0,1,0
"544",0.915,0,1,0
"545",-0.295,0,0,0
"546",0.625,0,1,0
"547",0.215,0,0,0
"548",0.27,0,1,0
"549",-0.71,0,0,0
"550",-0.84,0,0,0
"551",-0.125,0,0,0
"552",-1.54,0,0,0
"553",-0.69,0,0,0
"554",-0.37,0,0,0
"555",-0.655,0,1,0
"556",0.25,0,0,0
"557",0.88,0,1,0
"558",-1.195,0,1,0
"559",-0.96,0,0,0
"560",-1.355,0,0,0
"561",-0.0849999999999999,0,0,0
"562",-1.07,0,0,0
"563",0.43,0,0,0
"564",-0.875,0,0,0
"565",0.61,0,1,0
"566",-0.695,0,0,0
"567",-1.78,0,0,0
"568",-1.425,0,1,0
"569",-1.55,0,0,0
"570",-2.2,0,0,0
"571",-0.705,0,0,0
"572",0.64,0,0,0
"573",1.39,0,1,0
"574",-1.105,0,0,0
"575",-0.535,0,0,0
"576",-0.385,0,0,0
"577",-0.66,0,0,0
"578",-0.775,0,0,0
"579",-1.49,0,0,0
"580",2.645,0,1,0
"581",-0.265,0,1,0
"582",0.11,0,1,0
"583",0.545,0,0,0
"584",0.55,0,1,0
"585",-0.07,0,0,0
"586",-0.315,0,1,0
"587",0.62,0,1,0
"588",-1.29,0,0,0
"589",-0.47,0,1,0
"590",-1.995,0,0,0
"591",-0.63,0,0,0
"592",1.105,0,1,0
"593",0.28,0,0,0
"594",-0.645,0,1,0
"595",-0.915,0,0,0
"596",-0.34,0,0,0
"597",0.66,0,1,0
"598",-0.155,0,0,0
"599",1.42,0,1,0
"600",-0.575,0,1,0
"601",-0.835,0,0,0
"602",0.195,0,0,0
"603",-0.495,0,1,0
"604",-0.79,0,0,0
"605",-0.825,0,0,0
"606",-0.625,0,0,0
"607",1.055,0,1,0
"608",-1.55,0,0,0
"609",1.495,0,1,0
"610",-1.575,0,0,0
"611",-0.355,0,0,0
"612",-0.315,0,0,0
"613",0.345,0,1,0
"614",-0.625,0,0,0
"615",0.00499999999999996,0,1,0
"616",-0.73,0,0,0
"617",-0.09,0,1,0
"618",-0.1,0,0,0
"619",-1.135,0,0,0
"620",-1.46,0,0,0
"621",-0.995,0,1,0
"622",-0.225,0,0,0
"623",-0.54,0,0,0
"624",-0.215,0,1,0
"625",-1.84,0,0,0
"626",-1.45,0,0,0
"627",0.955,0,1,0
"628",-1.655,0,0,0
"629",-1.445,0,0,0
"630",-1.915,0,0,0
"631",-0.505,0,0,0
"632",-0.355,0,1,0
"633",-1.255,0,0,0
"634",-0.295,0,0,0
"635",1.53,0,1,0
"636",0.22,0,0,0
"637",-1.535,0,0,0
"638",1.455,0,1,0
"639",-1.08,0,0,0
"640",0.415,0,0,0
"641",0.35,0,1,0
"642",-1.345,0,1,0
"643",-0.43,0,1,0
"644",-0.695,0,0,0
"645",-0.21,0,0,0
"646",-0.87,0,0,0
"647",0.2,0,1,0
"648",-0.21,0,0,0
"649",-0.46,0,0,0
"650",0.02,0,0,0
"651",0.16,0,0,1
"652",-1.43,0,0,0
"653",-0.31,0,0,0
"654",1.695,0,1,0
"655",-1.42,0,0,0
"656",-0.64,0,0,0
"657",-0.205,0,1,0
"658",0.33,0,1,0
"659",0.385,0,1,0
"660",-0.985,0,0,0
"661",-1.835,0,0,0
"662",-0.38,0,0,0
"663",0.95,0,0,0
"664",-1.905,0,0,0
"665",1.175,0,1,0
"666",-0.25,0,0,0
"667",0.525,0,1,0
